track_name,track_id,artists,artists_ids,album_name,album_id,duration_ms,explicit,popularity,popularity_per_artist,followers_per_artist,album_popularity
Reality,6rHROoXjEfuxYVw1nd7plQ,"['Lost Frequencies', 'Janieck Devy']","['7f5Zgnp2spUuuzKplmRkt7', '5gtYjyZlmPOc1lLHvYzCON']",Reality (feat. Janieck Devy),5WUXC8UZAuNWPJ6fbhMWTl,158474,False,56,66,1331758,49
Mount Zion Medley,6vteTQH9VwU9R9Ssyt9x5n,"['Morgan Heritage', 'Capleton', 'Jah Cure', 'LMS', 'Ras Shiloh', 'Bushman']","['3VV18HyGcfLTqNjSjbROA1', '21J3YJTyq1biE3SvSNjzuf', '1bSn5aMcE83TXLlLDU9rTy', '76wIvnnXZ9iAF8XTSmllZF', '6kiEmNG2akSox9EPxiX36I', '7LodktwOen0OBkVv3DyxMX']",Morgan Heritage Family & Friends Volume . 1,3IEBtojsY5zVjSX6zrFdmR,357214,False,52,40,193614,0
Safe And Sound,6Z8R6UsFuGXGtiIxiD8ISb,['Capital Cities'],['4gwpcMTbLWtBUlOijbVpuu'],Safe And Sound,5iXfZywYLQWeUjoLr3Oy5J,192789,False,84,66,851907,0
New Heights,09aLLGz6xaH8C86a6Fs4CO,['Ky-Mani Marley'],['1XTGADISSMRf8B4TcVGYUC'],New Heights,7gxsX7K798LQQxe8z0ZtXe,180024,False,55,58,369468,47
Wanna Do (feat. Emil),7htf04U7Wx4NgP7bUyUxYF,"['Joe Weller', 'emil']","['0VOGPk9LCPMxzjkiX5JdZF', '6QhCVDh1vqT730bhJCUx8E']",Wanna Do (feat. Emil),6Wv9znFhPJec443ANMAy9e,203520,False,44,28,38192,36
Blame It on the Boogie,3qI94hINNNeb4S7xQi18lS,['The Jacksons'],['2yrbLiuBmc9j81lTX3XUuI'],The Essential Michael Jackson,3ubQZz8WgIfvjSoekS5daO,214200,False,72,59,1649769,0
Tight Ship,5T45lmz64b4W184v23tYvd,"['Stephen Marley', 'Damian Marley']","['0CIwCGmQMqHqiblnZlFia1', '3QJzdZJYIAcoET1GcfpNGi']",Revelation Part 1: The Root Of Life,15CJ60VzHvYJNxKsi6Gxib,255240,False,56,64,1029378,0
Chain Gang,1sK10Me7qS9em2QTx6dYRe,['Sam Cooke'],['6hnWRPzGGKiapVX1UCdEAC'],The Man Who Invented Soul,3Seie4YIVLWtPw2hQrouNY,160000,False,48,68,1487890,68
Music (feat. Marvin Gaye),2g4SumkFZpHOypfF5xng9Z,"['Erick Sermon', 'Marvin Gaye']","['2VX0o9LDIVmKIgpnwdJpOJ', '3koiLjNrgRTNbOwViDipeA']",Music,42gOvDA8rfvKVpqvliET3D,223133,False,44,62,2609946,36
Everlong,07q6QTQXyPRCf7GbLakRPr,['Foo Fighters'],['7jy3rLJdDQY21OgRLCZ9sD'],Greatest Hits,1zCNrbPpz5OLSr6mSpPdKm,249986,False,59,78,10960154,70
I Wish I Knew How It Would Feel to Be Free,617BX2z1ctbswU1xjU3LRW,['Nina Simone'],['7G1GBhoKtEPnP86X2PvEYO'],The Very Best Of Nina Simone 1967-1972 - Sugar In My Bowl,5Dh4qVmcMpDv5qhgdaqGtj,188893,False,45,68,2607850,46
Need To Tell You This,0wqjdq7nZUVdNOEdyu8xb7,['Ziggi Recado'],['0tvYfnkHhiQcVsR69cfAW8'],In Transit,4vpuP2bjhQKaWkBDA7xh5X,252933,False,40,35,18927,35
All Will Have to Change,06dVhqeU1iMAR1PT5Yy1PI,['Protoje'],['7BGR8y1VZAWK2oR4zD9COr'],Ancient Future,4JSutlY20GoHCSeJl0p4qJ,324986,False,32,58,364948,0
1865 (96º In The Shade),2Jko3yQgktaKnFcmyLv3g7,['Third World'],['6qfKnsgz1CwyqA7lTdieRJ'],96 Degrees In The Shade,0LJfplcfBkm5908E7XkHkN,267826,False,57,47,160228,0
Wit Me Dub,4IRFNQdOQB5WZZC61zYCd8,"['Zeds Dead', 'Megalodon']","['67qogtRNI0GjUr8PlaG6Zh', '2tXUcirItGbDNvLpApQT3z']",Wit Me Dub,4IUiTJy7YELbAtdChy9FHx,205241,False,27,44,311838,20
Ghetto Red Hot,6735XqVNhuy9f1wp3oBarv,['Super Cat'],['7hHDN8REbPLpv46ROortOM'],Don Dada,6TwhMgxYUO2EDyuiI3oFNt,232400,False,41,42,105120,45
Rock Steady,7rvGZDlfqCjY9EWEUg3Xs6,['Aretha Franklin'],['7nwUJBm0HE4ZxD3f5cy5ok'],Aretha Franklin,0p74TgZ4KjI5YpJnypxezR,193573,False,59,71,3140985,0
Concrete Jungle,2AFJm70C2psT6i9IM5WF2U,['Bob Marley & The Wailers'],['2QsynagSdAqZj3U9HgDzjD'],Marley OST,3oUCB0n85axmIbdLAR4FpF,252933,False,48,79,11546211,0
Something To Live For,4HyhausGZCOOd3TyMJmR1Y,"['Felix Cartal', 'Nikki Yanofsky']","['6roDXEmZ6AARdOUv6x5U2v', '1n02UdnML6G4wR162YsSRi']",Something To Live For,6eybqo62iAfmYaaYdnVdw9,196626,False,22,46,67236,15
Self Esteem,1FkoVC85Ds3mFoK0fVqEqP,['The Offspring'],['5LfGQac0EIXyAN8aUwmNAQ'],Smash,4jHuw0FsxTYTS3TFOmnYyD,257826,False,79,77,5034381,0
Babylon Rule Dem,2M3kpGBrnU6mebuyGGRf9M,['Groundation'],['5L59UhTBOeIRPxF5umwC9p'],Hebron Gate,5V6yCm8qQCxVtmKuodnjty,423706,False,47,50,305905,51
My Body,1KDYN3odJHnj9pqGHN3FVs,['Young the Giant'],['4j56EQDQu5XnL7R3E9iFJT'],Young The Giant (Special Edition),2ww7MYrkExsljnKhcINDse,244400,False,61,66,1495989,67
